system:index,area,year,.geo
0,467.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,628.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,225.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1386.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1043.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,664.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1064.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,735.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1240.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,695.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,603.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1496.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1481.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1286.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,951.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1298.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1066.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1358.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1351.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1575.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1468.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1205.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1288.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
